000009503 Gatza, Marene 3.67 2021
000039900 Jernigan, Yakuba 2.09 2021
000061437 Kaizer, Yegor 1.24 2019
000062949 Pefferkorn, Jano 0.67 2019
000084940 Jakubik, Romy 4.62 2019
000090756 Crankshaw, Aretx 0.67 2021
000090112 Castine, Abdelouahab 2.89 2019
000108803 Petruzzelli, Maisaa 4.41 2020
000111203 Kestler, Abdesselam 3.54 2018
000117193 Ohotnicky, Cheikhouna 1.19 2018
000127138 Schweinberg, Mei 0.49 2020
000162170 Cavalli, Ricardo 4.29 2019
000163663 Ounsy, Yanyan 4.15 2021
000176945 Ezdebski, Fabio 0.73 2018
000198175 Freise, Beverley 0.42 2020
000204274 Zuchelkowski, Jerry 4.35 2019
000205653 Reik, Encarnita 3.12 2021
000214283 Tessendorf, Malang 0.17 2019
000219098 Jarocki, Reyad 2.65 2018
000222090 Frohling, Gro 2.80 2020
000240426 Covino, Wafae 1.49 2018
000303563 Arrigone, Clarice 1.81 2022
000324686 Maita, Francho 4.11 2022
000338343 Balitas, Galin 1.69 2018
000341874 Swaby, Mahjoub 4.42 2019
000346449 Janish, Kathe 2.32 2020
000358012 Backbone, Thurman 3.66 2020
000361509 Sebranek, Dessire 4.28 2020
000362954 Severs, Dmytro 3.46 2019
000369650 Stockwell, Llura 1.15 2021
000372327 Cedeno, Indiana 1.67 2022
000373880 Bushway, Yamileth 1.13 2021
000390574 Blashak, Wenjian 1.68 2020
000390960 Munhall, Tache 4.04 2019
000395418 Kliethermes, Ranim 3.89 2019
000402507 Wariner, Linh 1.11 2021
000409800 Bauerkemper, Wilda 3.50 2019
000428858 Rawhouser, Ermina 4.76 2019
000454406 Prosser, Altamira 1.05 2019
000469085 Peitz, Fettouma 4.13 2019
000470516 Mcmilliam, Linfeng 4.06 2018
000474525 Kirnon, Siamak 4.89 2021
000498824 Hoeller, Petronilo 0.54 2020
000499795 Hallada, Mariatou 3.45 2021
000502545 Pullara, Khaddouj 1.82 2018
000520962 Zuziak, Denis 0.60 2022
000524536 Bresse, Ambreen 3.44 2019
000533637 Mitro, Abdelmoula 2.16 2020
000535672 Gurney, Enmanuela 2.45 2018
000544525 Cazorla, Nelba 3.15 2018
000549457 Dasouza, Dennis 2.02 2018
000551609 Tanikella, Hermogenes 1.63 2019
000621834 Sylvest, Golda 3.05 2022
000623872 Ginoza, Robina 2.87 2021
000665749 Gergel, Barb 1.91 2018
000668886 Pries, Jovino 3.86 2020
000668896 Trial, Code 4.96 2018
000674381 Angier, Moon 4.73 2021
000689486 Patzner, Liana 3.32 2018
000708187 Rorrer, Yusef 1.09 2021
000714011 Whitmoyer, Hisako 2.26 2019
000720280 Derezinski, Wessal 1.58 2019
000722825 Santoyo, Aleidis 2.61 2020
000723392 Everding, Mennana 4.32 2018
000733665 Howard, Zohaib 2.49 2019
000742600 Loll, Kalifa 2.45 2021
000769936 Hanford, Youssef 4.52 2021
000799196 Zelkind, Suwei 1.16 2018
000812584 Thronton, Claudinei 4.68 2021
000821298 Oropeza, Miranda 4.48 2019
000824922 Huret, Hairong 0.09 2019
000826552 Castellan, Biser 2.86 2022
000834846 Simoneaux, Cheick 1.18 2018
000844520 Olkowski, Nepomuceno 1.24 2018
000848669 Cadiz, Nemesio 1.73 2020
000857908 Simler, Crisogono 1.55 2018
000867447 Seals, Sisinio 1.54 2020
000868807 Losh, Maike 1.35 2019
000880460 Boney, Chivuta 3.45 2020
000886831 Preslipsky, Annett 3.84 2018
000909134 Mclaughlan, Marife 0.38 2019
