000027379 Trachtenberg, Illia 2.18 2021
000027784 Jahde, Yaretzi 3.65 2022
000035465 Fadely, Bouazza 0.31 2018
000039818 Singer, Alycia 3.45 2020
000064066 Shapard, Qadeer 2.24 2022
000066184 Caruana, Josh 3.52 2022
000076073 Wenig, Carlena 1.90 2022
000091642 Flath, Cindy 1.93 2021
000118446 Brustkern, Lenia 1.05 2022
000142599 Crone, Buddy 4.54 2018
000149524 Scotty, Arageme 2.39 2018
000172120 Brola, Yorel 0.74 2021
000205940 Vandebogart, Maider 2.09 2020
000209373 Mattera, Apolinaria 2.09 2021
000241327 Edwardson, Kurtis 4.85 2022
000242704 Brinkly, Gitte 0.01 2018
000245101 Mclauchlin, Dortha 1.55 2019
000271991 Gravel, Yanfang 4.78 2019
000289517 Morda, Argelia 2.25 2019
000291912 Mais, Romualdo 1.72 2019
000299265 Abdel, Michele 1.16 2020
000305487 Kinkella, Texenen 4.55 2020
000307861 Schwenck, Gaieta 3.24 2019
000309214 Erhard, Yevgen 2.75 2019
000314236 Barranger, Suria 0.76 2020
000320810 Mohsin, Per 4.65 2020
000324364 Truex, Geraldina 2.63 2020
000343624 Vink, Damian 1.15 2022
000359915 Drape, Gratiniano 4.34 2019
000412388 Straney, Katiuska 4.84 2018
000414948 Vanmatre, Malaika 2.07 2022
000421168 Strout, Tiana 3.61 2018
000433412 Mckeague, Yokin 0.68 2019
000444974 Huckabaa, Speranta 2.16 2019
000453613 Mulford, Zelia 4.29 2019
000483945 Mandolfo, Rosangel 0.44 2018
000484601 Hinckle, Ghassan 3.42 2021
000488282 Straughn, Artus 1.71 2018
000490996 Bick, Lelah 4.95 2020
000515359 Antkowiak, Nory 2.69 2018
000516826 Bellmay, Ouassima 4.54 2019
000524647 Rosenzweig, Charki 4.34 2018
000539483 Reid, Zainab 2.11 2022
000563069 Bandin, Yeferson 2.62 2021
000575452 Nothstine, Clarine 4.98 2019
000592963 Heavilin, Genadi 0.93 2019
000609182 Malinconico, Genaro 0.33 2021
000619621 Schug, Filippo 1.39 2020
000633284 Zenisek, Jovani 0.07 2020
000636039 Lowrey, Shuwei 1.12 2018
000640580 Beason, Ivar 3.93 2019
000647969 Jackon, Linette 4.89 2021
000654600 Eagon, Lais 0.06 2021
000665468 Kiyuna, Karel 0.84 2021
000681110 Hilchey, Ashfaq 1.56 2021
000708372 Domhoff, Sauc 3.48 2022
000729647 Sida, Sabra 4.53 2022
000739923 Arendz, Fadel 3.74 2019
000741879 Meddaugh, Nicu 0.41 2018
000748046 Goodland, Nazma 2.14 2018
000749424 Barbano, Elixabete 1.53 2022
000751271 Ramiez, Assuncao 2.11 2020
000754881 Goettel, Enol 1.40 2018
000759308 Fukui, Abdelfatah 1.28 2022
000763230 Liest, Marzena 0.14 2020
000769781 Relkin, Norris 3.09 2021
000784223 Ostrow, Ye 0.64 2018
000794492 Bertman, Nouhoun 4.36 2020
000795743 Lamers, Natascha 0.54 2018
000808669 Hiott, Abdelmaoula 4.20 2020
000818818 Mynatt, Eluney 3.29 2018
000818983 Parke, Udo 4.46 2018
000830970 Mccammack, Zaka 1.03 2019
000835142 Mustain, Marietta 3.64 2018
000837568 Gambrel, Mirna 3.11 2021
000839005 Ikzda, Elodie 3.11 2018
000853449 Huenergardt, Camillo 0.71 2021
000862638 Linstrom, Loyd 4.75 2019
000869688 Schiebel, Suzanne 2.58 2019
000878549 Gullette, Idan 4.19 2020
000901609 Bustle, Bento 0.27 2018
000906184 Grando, Siyka 4.47 2022
000907482 Romanoski, Alik 2.78 2019
000912712 Shiraki, Musa 0.20 2018
000917463 Korgie, Secundino 4.87 2018
000919432 Bentle, Nader 0.89 2019
000920641 Hanken, Alizee 1.12 2021
000934310 Huett, Montevirgen 0.05 2021
000941043 Stania, Rachel 0.88 2020
000942103 Brenneis, Insa 2.15 2021
000950494 Hanson, Andreea 2.41 2020
000954561 Knollman, Cati 3.63 2022
000984572 Vaccarezza, Heidrun 2.24 2018
000989229 Martos, Laiba 1.31 2020
000989072 Delilli, Izola 3.53 2021
000994317 Lassonde, Nouaman 3.04 2018
001007940 Grasmuck, Napoleon 0.56 2021
001026108 Guiliani, Fermi 4.20 2021
001035708 Earnhardt, Urgell 0.48 2020
001038193 Tsukiyama, Noa 3.40 2020
001040681 Swithenbank, Wellington 2.23 2022
001043996 Shambaugh, Doloris 4.53 2019
001058046 Castagnier, Getulio 4.95 2019
001121948 Penski, Sayd 2.49 2018
001123207 Frandeen, Medoune 4.31 2020
001140050 Yoshizawa, Ayyub 2.94 2021
001145835 Rowley, Elanor 4.24 2021
001152229 Carabez, Immaculada 2.46 2021
001154305 Longendyke, Carlie 2.94 2019
001162946 Lenze, Wai 4.48 2020
001176923 Novotny, Maricuta 4.08 2018
001189845 Parado, Ilena 4.77 2022
001194723 Clarkston, Vi 3.06 2022
001203199 Timas, Patria 2.57 2022
001222169 Sidhom, Guihua 4.36 2018
001247148 Apelian, Nourredine 3.68 2018
001251207 Genberg, Safietou 0.78 2019
001272741 Candland, Pervaiz 0.45 2019
001276688 Bia, Mery 0.83 2021
001290141 Zeme, Justine 3.87 2018
001291629 Simmerman, Martinho 4.87 2018
001297141 Grahn, Ferial 4.04 2021
001299066 Zsohar, Aniss 0.32 2019
001301463 Vall, Josef 2.75 2020
001316915 Lazzell, Erica 2.89 2020
001316486 Esfahani, Gregory 1.33 2022
001339181 Jentry, Kang 3.36 2020
001343280 Caloca, Cleonice 4.84 2021
001345290 Tolosa, Marck 2.10 2021
001359289 Waiters, Aiqin 1.10 2019
001361805 Strother, Sverre 1.71 2020
001368715 Linet, Zebensui 2.74 2018
001380805 Ragasa, Medina 1.19 2018
001409929 Nannen, Willia 0.09 2018
001418121 Sualevai, Rajwant 0.08 2018
001433641 Jaksic, Lima 0.19 2021
001438573 Rivkin, Laure 2.68 2022
001438620 Graefe, Wenliang 1.24 2020
001448416 Tokay, Latrina 0.54 2018
001483623 Stramiello, Saidou 0.06 2022
001506183 Stordahl, Ashlyn 0.04 2018
001507768 Mesrobian, Vicencio 0.97 2020
001513280 Boland, Juliette 3.45 2022
001517620 Crome, Ima 1.66 2021
001521689 Thormina, Zayda 0.43 2019
001536740 Goepfert, Zacarias 3.99 2022
001543531 Felman, Haykanush 2.35 2018
001549143 Midy, Weiyan 4.29 2018
001550753 Sumstad, Fattouma 1.34 2022
001552596 Spiwak, Dagoberto 4.58 2021
001565101 Doughton, Dorica 4.70 2022
001570845 Burton, Abdelelah 4.53 2020
001573747 Balazs, Azman 4.69 2022
001581010 Coate, Abdelelah 4.04 2020
001582582 Cothern, Yufang 1.13 2019
001582797 Garbarini, Djily 2.45 2020
001586544 Rozema, Sylvester 0.19 2020
001590050 Terpening, Alva 3.21 2022
001607977 Bartkowski, Galina 4.07 2021
001619501 Mcmorran, Snejana 3.31 2020
001627415 Burger, Mittie 2.37 2019
001635163 Weldon, Ane 0.79 2020
001668040 Welsh, Uranius 4.94 2018
001691685 Duckhorn, Lizer 1.04 2019
001693479 Ludeman, Neiba 0.88 2022
001696895 Aspell, Andone 3.30 2020
001706166 Gabbert, Hanh 0.24 2018
001707565 Troyano, Adah 3.98 2022
001709143 Felt, Norddine 3.66 2022
001711351 Lippitt, Servando 2.84 2020
001747989 Dommer, Aruca 0.50 2020
001748806 Teakell, Petko 0.18 2022
001761569 Blandin, Sumia 0.99 2019
001772611 Monka, Ibraim 4.75 2019
001777182 Hix, Guoyong 2.45 2020
001777058 Davault, Ainhize 0.71 2018
001792886 Otter, Redencion 0.26 2021
001795824 Erker, Shayma 4.35 2019
001803887 Seton, Regis 1.92 2020
001814784 Laurino, Arcadie 0.83 2022
001816440 Kubasch, Salomon 4.46 2022
001847798 Innamorato, Kaur 2.71 2022
001859394 Cromie, Fiamma 4.31 2020
001863834 Silvernail, Juvenal 3.05 2019
001867937 Sekula, Wijdane 1.49 2019
001873788 Paguin, Rickey 3.12 2022
001890811 Taing, Ena 4.86 2019
001892590 Orrick, Jianfeng 3.58 2020
001892640 Ehl, Apostol 3.35 2022
001959920 Selin, Cindi 2.93 2019
001963614 Zwagerman, Cayo 3.68 2022
001966136 Vitek, Brahian 0.92 2020
001969758 Seegmiller, Xisela 1.01 2021
001972952 Standback, Abdelouafi 4.59 2019
001993778 Pyper, Enid 0.41 2021
002008687 Haut, Ivelin 1.91 2019
002027342 Leffler, Igone 1.13 2021
002041089 Goettel, Eduvigis 4.21 2019
002044457 Farman, Virginie 2.59 2020
002064409 Ochocki, Petrica 2.77 2022
002067257 Watzke, Adonais 2.67 2021
002067820 Gougeon, Indra 2.34 2021
002069031 Kochen, Purificacio 2.25 2022
002070625 Avants, Abdelah 4.31 2020
002078059 Pimentel, Cherie 3.63 2020
